School,Conference
oklahoma-state,Big 12 Conference
kansas-state,Big 12 Conference
texas-christian,Big 12 Conference
texas-tech,Big 12 Conference
villanova,Big East Conference
butler,Big East Conference
georgetown,Big East Conference
providence,Big East Conference
st-johns-ny,Big East Conference
xavier,Big East Conference
seton-hall,Big East Conference
depaul,Big East Conference
creighton,Big East Conference
marquette,Big East Conference
eastern-washington,Big Sky Conference
montana,Big Sky Conference
sacramento-state,Big Sky Conference
northern-arizona,Big Sky Conference
northern-colorado,Big Sky Conference
portland-state,Big Sky Conference
idaho,Big Sky Conference
weber-state,Big Sky Conference
southern-utah,Big Sky Conference
north-dakota,Big Sky Conference
idaho-state,Big Sky Conference
montana-state,Big Sky Conference
high-point,Big South Conference
charleston-southern,Big South Conference
coastal-carolina,Big South Conference
radford,Big South Conference
winthrop,Big South Conference
gardner-webb,Big South Conference
north-carolina-asheville,Big South Conference
presbyterian,Big South Conference
longwood,Big South Conference
campbell,Big South Conference
liberty,Big South Conference
wisconsin,Big Ten Conference
maryland,Big Ten Conference
michigan-state,Big Ten Conference
iowa,Big Ten Conference
purdue,Big Ten Conference
ohio-state,Big Ten Conference
indiana,Big Ten Conference
illinois,Big Ten Conference
michigan,Big Ten Conference
minnesota,Big Ten Conference
northwestern,Big Ten Conference
nebraska,Big Ten Conference
penn-state,Big Ten Conference
rutgers,Big Ten Conference
california-davis,Big West Conference
california-irvine,Big West Conference
california-santa-barbara,Big West Conference
long-beach-state,Big West Conference
hawaii,Big West Conference
california-riverside,Big West Conference
cal-poly,Big West Conference
cal-state-northridge,Big West Conference
cal-state-fullerton,Big West Conference
northeastern,Colonial Athletic Association
william-mary,Colonial Athletic Association
james-madison,Colonial Athletic Association
north-carolina-wilmington,Colonial Athletic Association
hofstra,Colonial Athletic Association
drexel,Colonial Athletic Association
delaware,Colonial Athletic Association
elon,Colonial Athletic Association
towson,Colonial Athletic Association
college-of-charleston,Colonial Athletic Association
louisiana-tech,Conference USA
old-dominion,Conference USA
texas-el-paso,Conference USA
western-kentucky,Conference USA
alabama-birmingham,Conference USA
middle-tennessee,Conference USA
florida-international,Conference USA
texas-san-antonio,Conference USA
north-texas,Conference USA
rice,Conference USA
charlotte,Conference USA
marshall,Conference USA
southern-mississippi,Conference USA
florida-atlantic,Conference USA
valparaiso,Horizon League
green-bay,Horizon League
cleveland-state,Horizon League
oakland,Horizon League
milwaukee,Horizon League
detroit-mercy,Horizon League
illinois-chicago,Horizon League
wright-state,Horizon League
youngstown-state,Horizon League
harvard,Ivy Group
yale,Ivy Group
princeton,Ivy Group
dartmouth,Ivy Group
columbia,Ivy Group
cornell,Ivy Group
brown,Ivy Group
pennsylvania,Ivy Group
iona,Metro Atlantic Athletic Conference
rider,Metro Atlantic Athletic Conference
manhattan,Metro Atlantic Athletic Conference
monmouth,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
quinnipiac,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
siena,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
marist,Metro Atlantic Athletic Conference
buffalo,Mid-American Conference
kent-state,Mid-American Conference
bowling-green-state,Mid-American Conference
akron,Mid-American Conference
miami-oh,Mid-American Conference
ohio,Mid-American Conference
central-michigan,Mid-American Conference
toledo,Mid-American Conference
western-michigan,Mid-American Conference
eastern-michigan,Mid-American Conference
northern-illinois,Mid-American Conference
ball-state,Mid-American Conference
north-carolina-central,Mid-Eastern Athletic Conference
norfolk-state,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
delaware-state,Mid-Eastern Athletic Conference
hampton,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
south-carolina-state,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
savannah-state,Mid-Eastern Athletic Conference
morgan-state,Mid-Eastern Athletic Conference
florida-am,Mid-Eastern Athletic Conference
wichita-state,Missouri Valley Conference
northern-iowa,Missouri Valley Conference
illinois-state,Missouri Valley Conference
indiana-state,Missouri Valley Conference
evansville,Missouri Valley Conference
loyola-il,Missouri Valley Conference
drake,Missouri Valley Conference
missouri-state,Missouri Valley Conference
southern-illinois,Missouri Valley Conference
bradley,Missouri Valley Conference
san-diego-state,Mountain West Conference
boise-state,Mountain West Conference
colorado-state,Mountain West Conference
wyoming,Mountain West Conference
utah-state,Mountain West Conference
fresno-state,Mountain West Conference
nevada-las-vegas,Mountain West Conference
new-mexico,Mountain West Conference
air-force,Mountain West Conference
nevada,Mountain West Conference
san-jose-state,Mountain West Conference
st-francis-ny,Northeast Conference
robert-morris,Northeast Conference
bryant,Northeast Conference
mount-st-marys,Northeast Conference
saint-francis-pa,Northeast Conference
sacred-heart,Northeast Conference
long-island-university,Northeast Conference
wagner,Northeast Conference
fairleigh-dickinson,Northeast Conference
central-connecticut-state,Northeast Conference
belmont,Ohio Valley Conference
eastern-kentucky,Ohio Valley Conference
morehead-state,Ohio Valley Conference
jacksonville-state,Ohio Valley Conference
tennessee-tech,Ohio Valley Conference
tennessee-state,Ohio Valley Conference
murray-state,Ohio Valley Conference
tennessee-martin,Ohio Valley Conference
eastern-illinois,Ohio Valley Conference
southern-illinois-edwardsville,Ohio Valley Conference
southeast-missouri-state,Ohio Valley Conference
austin-peay,Ohio Valley Conference
arizona,Pacific-12 Conference
utah,Pacific-12 Conference
oregon,Pacific-12 Conference
ucla,Pacific-12 Conference
stanford,Pacific-12 Conference
arizona-state,Pacific-12 Conference
oregon-state,Pacific-12 Conference
california,Pacific-12 Conference
colorado,Pacific-12 Conference
washington-state,Pacific-12 Conference
washington,Pacific-12 Conference
southern-california,Pacific-12 Conference
bucknell,Patriot League
colgate,Patriot League
lehigh,Patriot League
lafayette,Patriot League
boston-university,Patriot League
american,Patriot League
holy-cross,Patriot League
navy,Patriot League
loyola-md,Patriot League
army,Patriot League
kentucky,Southeastern Conference
arkansas,Southeastern Conference
louisiana-state,Southeastern Conference
georgia,Southeastern Conference
texas-am,Southeastern Conference
mississippi,Southeastern Conference
vanderbilt,Southeastern Conference
alabama,Southeastern Conference
florida,Southeastern Conference
tennessee,Southeastern Conference
south-carolina,Southeastern Conference
mississippi-state,Southeastern Conference
auburn,Southeastern Conference
missouri,Southeastern Conference
wofford,Southern Conference
chattanooga,Southern Conference
mercer,Southern Conference
western-carolina,Southern Conference
east-tennessee-state,Southern Conference
virginia-military-institute,Southern Conference
samford,Southern Conference
citadel,Southern Conference
north-carolina-greensboro,Southern Conference
furman,Southern Conference
stephen-f-austin,Southland Conference
sam-houston-state,Southland Conference
northwestern-state,Southland Conference
texas-am-corpus-christi,Southland Conference
incarnate-word,Southland Conference
lamar,Southland Conference
mcneese-state,Southland Conference
houston-baptist,Southland Conference
nicholls-state,Southland Conference
new-orleans,Southland Conference
southeastern-louisiana,Southland Conference
abilene-christian,Southland Conference
central-arkansas,Southland Conference
north-dakota-state,Summit League
south-dakota-state,Summit League
oral-roberts,Summit League
ipfw,Summit League
south-dakota,Summit League
denver,Summit League
iupui,Summit League
nebraska-omaha,Summit League
western-illinois,Summit League
georgia-state,Sun Belt Conference
georgia-southern,Sun Belt Conference
louisiana-monroe,Sun Belt Conference
louisiana-lafayette,Sun Belt Conference
texas-arlington,Sun Belt Conference
appalachian-state,Sun Belt Conference
south-alabama,Sun Belt Conference
arkansas-little-rock,Sun Belt Conference
texas-state,Sun Belt Conference
arkansas-state,Sun Belt Conference
troy,Sun Belt Conference
texas-southern,Southwest Athletic Conference
alabama-state,Southwest Athletic Conference
southern,Southwest Athletic Conference
prairie-view,Southwest Athletic Conference
arkansas-pine-bluff,Southwest Athletic Conference
jackson-state,Southwest Athletic Conference
alabama-am,Southwest Athletic Conference
mississippi-valley-state,Southwest Athletic Conference
alcorn-state,Southwest Athletic Conference
grambling,Southwest Athletic Conference
new-mexico-state,Western Athletic Conference
grand-canyon,Western Athletic Conference
missouri-kansas-city,Western Athletic Conference
seattle,Western Athletic Conference
cal-state-bakersfield,Western Athletic Conference
utah-valley,Western Athletic Conference
texas-pan-american,Western Athletic Conference
chicago-state,Western Athletic Conference
gonzaga,West Coast Conference
brigham-young,West Coast Conference
saint-marys-ca,West Coast Conference
pepperdine,West Coast Conference
san-diego,West Coast Conference
portland,West Coast Conference
san-francisco,West Coast Conference
santa-clara,West Coast Conference
pacific,West Coast Conference
loyola-marymount,West Coast Conference
njit,Independent
