School,Conference
southern-methodist,American Athletic Conference
memphis,American Athletic Conference
wichita-state,American Athletic Conference
temple,American Athletic Conference
tulane,American Athletic Conference
tulsa,American Athletic Conference
central-florida,American Athletic Conference
cincinnati,American Athletic Conference
connecticut,American Athletic Conference
houston,American Athletic Conference
south-florida,American Athletic Conference
east-carolina,American Athletic Conference
louisville,Atlantic Coast Conference
virginia,Atlantic Coast Conference
north-carolina,Atlantic Coast Conference
pittsburgh,Atlantic Coast Conference
virginia-tech,Atlantic Coast Conference
boston-college,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
duke,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
notre-dame,Atlantic Coast Conference
clemson,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
miami-fl,Atlantic Coast Conference
syracuse,Atlantic Coast Conference
vermont,America East Conference
stony-brook,America East Conference
albany-ny,America East Conference
binghamton,America East Conference
maryland-baltimore-county,America East Conference
new-hampshire,America East Conference
hartford,America East Conference
massachusetts-lowell,America East Conference
maine,America East Conference
duquesne,Atlantic 10 Conference
george-mason,Atlantic 10 Conference
saint-louis,Atlantic 10 Conference
virginia-commonwealth,Atlantic 10 Conference
dayton,Atlantic 10 Conference
richmond,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
fordham,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
davidson,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
saint-josephs,Atlantic 10 Conference
liberty,Atlantic Sun Conference
north-florida,Atlantic Sun Conference
stetson,Atlantic Sun Conference
lipscomb,Atlantic Sun Conference
north-alabama,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
njit,Atlantic Sun Conference
florida-gulf-coast,Atlantic Sun Conference
kennesaw-state,Atlantic Sun Conference
oklahoma-state,Big 12 Conference
west-virginia,Big 12 Conference
kansas,Big 12 Conference
oklahoma,Big 12 Conference
baylor,Big 12 Conference
texas,Big 12 Conference
texas-christian,Big 12 Conference
texas-tech,Big 12 Conference
kansas-state,Big 12 Conference
iowa-state,Big 12 Conference
butler,Big East Conference
depaul,Big East Conference
xavier,Big East Conference
marquette,Big East Conference
seton-hall,Big East Conference
creighton,Big East Conference
st-johns-ny,Big East Conference
georgetown,Big East Conference
villanova,Big East Conference
providence,Big East Conference
sacramento-state,Big Sky Conference
montana-state,Big Sky Conference
eastern-washington,Big Sky Conference
northern-arizona,Big Sky Conference
southern-utah,Big Sky Conference
idaho-state,Big Sky Conference
idaho,Big Sky Conference
montana,Big Sky Conference
northern-colorado,Big Sky Conference
portland-state,Big Sky Conference
weber-state,Big Sky Conference
campbell,Big South Conference
north-carolina-asheville,Big South Conference
longwood,Big South Conference
winthrop,Big South Conference
hampton,Big South Conference
radford,Big South Conference
charleston-southern,Big South Conference
gardner-webb,Big South Conference
high-point,Big South Conference
presbyterian,Big South Conference
south-carolina-upstate,Big South Conference
indiana,Big Ten Conference
maryland,Big Ten Conference
michigan,Big Ten Conference
ohio-state,Big Ten Conference
illinois,Big Ten Conference
penn-state,Big Ten Conference
rutgers,Big Ten Conference
