School,Conference
idaho-state,Big Sky Conference
montana-state,Big Sky Conference
montana,Big Sky Conference
portland-state,Big Sky Conference
birmingham-southern,Big South Conference
liberty,Big South Conference
high-point,Big South Conference
winthrop,Big South Conference
coastal-carolina,Big South Conference
radford,Big South Conference
north-carolina-asheville,Big South Conference
virginia-military-institute,Big South Conference
charleston-southern,Big South Conference
illinois,Big Ten Conference
wisconsin,Big Ten Conference
michigan-state,Big Ten Conference
iowa,Big Ten Conference
michigan,Big Ten Conference
northwestern,Big Ten Conference
purdue,Big Ten Conference
indiana,Big Ten Conference
ohio-state,Big Ten Conference
minnesota,Big Ten Conference
penn-state,Big Ten Conference
utah-state,Big West Conference
pacific,Big West Conference
california-santa-barbara,Big West Conference
idaho,Big West Conference
cal-state-northridge,Big West Conference
cal-state-fullerton,Big West Conference
california-riverside,Big West Conference
cal-poly,Big West Conference
california-irvine,Big West Conference
long-beach-state,Big West Conference
virginia-commonwealth,Colonial Athletic Association
drexel,Colonial Athletic Association
george-mason,Colonial Athletic Association
old-dominion,Colonial Athletic Association
hofstra,Colonial Athletic Association
delaware,Colonial Athletic Association
north-carolina-wilmington,Colonial Athletic Association
william-mary,Colonial Athletic Association
towson,Colonial Athletic Association
james-madison,Colonial Athletic Association
depaul,Conference USA
memphis,Conference USA
cincinnati,Conference USA
alabama-birmingham,Conference USA
charlotte,Conference USA
louisville,Conference USA
saint-louis,Conference USA
marquette,Conference USA
texas-christian,Conference USA
southern-mississippi,Conference USA
east-carolina,Conference USA
tulane,Conference USA
houston,Conference USA
south-florida,Conference USA
milwaukee,Horizon League
illinois-chicago,Horizon League
green-bay,Horizon League
detroit-mercy,Horizon League
wright-state,Horizon League
butler,Horizon League
youngstown-state,Horizon League
loyola-il,Horizon League
cleveland-state,Horizon League
princeton,Ivy Group
pennsylvania,Ivy Group
brown,Ivy Group
yale,Ivy Group
cornell,Ivy Group
columbia,Ivy Group
harvard,Ivy Group
dartmouth,Ivy Group
manhattan,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
rider,Metro Atlantic Athletic Conference
siena,Metro Atlantic Athletic Conference
iona,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
marist,Metro Atlantic Athletic Conference
loyola-md,Metro Atlantic Athletic Conference
kent-state,Mid-American Conference
miami-oh,Mid-American Conference
buffalo,Mid-American Conference
marshall,Mid-American Conference
ohio,Mid-American Conference
akron,Mid-American Conference
western-michigan,Mid-American Conference
toledo,Mid-American Conference
ball-state,Mid-American Conference
bowling-green-state,Mid-American Conference
eastern-michigan,Mid-American Conference
northern-illinois,Mid-American Conference
central-michigan,Mid-American Conference
south-carolina-state,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
delaware-state,Mid-Eastern Athletic Conference
hampton,Mid-Eastern Athletic Conference
florida-am,Mid-Eastern Athletic Conference
norfolk-state,Mid-Eastern Athletic Conference
morgan-state,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
southern-illinois,Missouri Valley Conference
creighton,Missouri Valley Conference
northern-iowa,Missouri Valley Conference
wichita-state,Missouri Valley Conference
missouri-state,Missouri Valley Conference
bradley,Missouri Valley Conference
drake,Missouri Valley Conference
indiana-state,Missouri Valley Conference
evansville,Missouri Valley Conference
illinois-state,Missouri Valley Conference
air-force,Mountain West Conference
brigham-young,Mountain West Conference
utah,Mountain West Conference
nevada-las-vegas,Mountain West Conference
new-mexico,Mountain West Conference
san-diego-state,Mountain West Conference
wyoming,Mountain West Conference
colorado-state,Mountain West Conference
monmouth,Northeast Conference
st-francis-ny,Northeast Conference
fairleigh-dickinson,Northeast Conference
robert-morris,Northeast Conference
saint-francis-pa,Northeast Conference
wagner,Northeast Conference
central-connecticut-state,Northeast Conference
mount-st-marys,Northeast Conference
sacred-heart,Northeast Conference
quinnipiac,Northeast Conference
long-island-university,Northeast Conference
austin-peay,Ohio Valley Conference
murray-state,Ohio Valley Conference
morehead-state,Ohio Valley Conference
eastern-kentucky,Ohio Valley Conference
samford,Ohio Valley Conference
jacksonville-state,Ohio Valley Conference
tennessee-tech,Ohio Valley Conference
tennessee-state,Ohio Valley Conference
tennessee-martin,Ohio Valley Conference
southeast-missouri-state,Ohio Valley Conference
eastern-illinois,Ohio Valley Conference
lehigh,Patriot League
american,Patriot League
lafayette,Patriot League
bucknell,Patriot League
holy-cross,Patriot League
colgate,Patriot League
army,Patriot League
navy,Patriot League
kentucky,Southeastern Conference
florida,Southeastern Conference
south-carolina,Southeastern Conference
vanderbilt,Southeastern Conference
georgia,Southeastern Conference
tennessee,Southeastern Conference
mississippi-state,Southeastern Conference
louisiana-state,Southeastern Conference
alabama,Southeastern Conference
auburn,Southeastern Conference
mississippi,Southeastern Conference
arkansas,Southeastern Conference
east-tennessee-state,Southern Conference
chattanooga,Southern Conference
elon,Southern Conference
north-carolina-greensboro,Southern Conference
western-carolina,Southern Conference
appalachian-state,Southern Conference
georgia-southern,Southern Conference
college-of-charleston,Southern Conference
davidson,Southern Conference
furman,Southern Conference
wofford,Southern Conference
citadel,Southern Conference
southeastern-louisiana,Southland Conference
texas-arlington,Southland Conference
texas-san-antonio,Southland Conference
stephen-f-austin,Southland Conference
sam-houston-state,Southland Conference
texas-state,Southland Conference
northwestern-state,Southland Conference
louisiana-monroe,Southland Conference
mcneese-state,Southland Conference
lamar,Southland Conference
nicholls-state,Southland Conference
arkansas-little-rock,Sun Belt Conference
western-kentucky,Sun Belt Conference
middle-tennessee,Sun Belt Conference
arkansas-state,Sun Belt Conference
florida-international,Sun Belt Conference
louisiana-lafayette,Sun Belt Conference
new-orleans,Sun Belt Conference
north-texas,Sun Belt Conference
south-alabama,Sun Belt Conference
denver,Sun Belt Conference
new-mexico-state,Sun Belt Conference
mississippi-valley-state,Southwest Athletic Conference
alabama-state,Southwest Athletic Conference
texas-southern,Southwest Athletic Conference
alabama-am,Southwest Athletic Conference
jackson-state,Southwest Athletic Conference
alcorn-state,Southwest Athletic Conference
grambling,Southwest Athletic Conference
southern,Southwest Athletic Conference
prairie-view,Southwest Athletic Conference
arkansas-pine-bluff,Southwest Athletic Conference
nevada,Western Athletic Conference
texas-el-paso,Western Athletic Conference
boise-state,Western Athletic Conference
rice,Western Athletic Conference
hawaii,Western Athletic Conference
fresno-state,Western Athletic Conference
louisiana-tech,Western Athletic Conference
southern-methodist,Western Athletic Conference
tulsa,Western Athletic Conference
san-jose-state,Western Athletic Conference
gonzaga,West Coast Conference
saint-marys-ca,West Coast Conference
pepperdine,West Coast Conference
san-francisco,West Coast Conference
santa-clara,West Coast Conference
portland,West Coast Conference
loyola-marymount,West Coast Conference
san-diego,West Coast Conference
texas-am-corpus-christi,Independent
texas-pan-american,Independent
savannah-state,Independent
ipfw,Independent
