School,Conference
southern-methodist,American Athletic Conference
cincinnati,American Athletic Conference
houston,American Athletic Conference
central-florida,American Athletic Conference
memphis,American Athletic Conference
connecticut,American Athletic Conference
tulsa,American Athletic Conference
temple,American Athletic Conference
east-carolina,American Athletic Conference
tulane,American Athletic Conference
south-florida,American Athletic Conference
north-carolina,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
louisville,Atlantic Coast Conference
notre-dame,Atlantic Coast Conference
duke,Atlantic Coast Conference
virginia,Atlantic Coast Conference
virginia-tech,Atlantic Coast Conference
miami-fl,Atlantic Coast Conference
syracuse,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
clemson,Atlantic Coast Conference
pittsburgh,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
boston-college,Atlantic Coast Conference
vermont,America East Conference
stony-brook,America East Conference
new-hampshire,America East Conference
albany-ny,America East Conference
maryland-baltimore-county,America East Conference
massachusetts-lowell,America East Conference
hartford,America East Conference
binghamton,America East Conference
maine,America East Conference
dayton,Atlantic 10 Conference
virginia-commonwealth,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
richmond,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
george-mason,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
davidson,Atlantic 10 Conference
fordham,Atlantic 10 Conference
saint-louis,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
saint-josephs,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
florida-gulf-coast,Atlantic Sun Conference
lipscomb,Atlantic Sun Conference
north-florida,Atlantic Sun Conference
south-carolina-upstate,Atlantic Sun Conference
kennesaw-state,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
njit,Atlantic Sun Conference
stetson,Atlantic Sun Conference
kansas,Big 12 Conference
baylor,Big 12 Conference
west-virginia,Big 12 Conference
iowa-state,Big 12 Conference
oklahoma-state,Big 12 Conference
kansas-state,Big 12 Conference
texas-christian,Big 12 Conference
texas-tech,Big 12 Conference
oklahoma,Big 12 Conference
texas,Big 12 Conference
villanova,Big East Conference
butler,Big East Conference
creighton,Big East Conference
seton-hall,Big East Conference
providence,Big East Conference
marquette,Big East Conference
xavier,Big East Conference
st-johns-ny,Big East Conference
georgetown,Big East Conference
depaul,Big East Conference
north-dakota,Big Sky Conference
eastern-washington,Big Sky Conference
weber-state,Big Sky Conference
idaho,Big Sky Conference
montana,Big Sky Conference
montana-state,Big Sky Conference
sacramento-state,Big Sky Conference
portland-state,Big Sky Conference
northern-colorado,Big Sky Conference
northern-arizona,Big Sky Conference
southern-utah,Big Sky Conference
idaho-state,Big Sky Conference
winthrop,Big South Conference
north-carolina-asheville,Big South Conference
liberty,Big South Conference
gardner-webb,Big South Conference
high-point,Big South Conference
radford,Big South Conference
campbell,Big South Conference
charleston-southern,Big South Conference
longwood,Big South Conference
presbyterian,Big South Conference
purdue,Big Ten Conference
wisconsin,Big Ten Conference
maryland,Big Ten Conference
minnesota,Big Ten Conference
michigan,Big Ten Conference
northwestern,Big Ten Conference
michigan-state,Big Ten Conference
iowa,Big Ten Conference
illinois,Big Ten Conference
ohio-state,Big Ten Conference
indiana,Big Ten Conference
penn-state,Big Ten Conference
nebraska,Big Ten Conference
rutgers,Big Ten Conference
california-irvine,Big West Conference
california-davis,Big West Conference
cal-state-fullerton,Big West Conference
long-beach-state,Big West Conference
hawaii,Big West Conference
cal-state-northridge,Big West Conference
cal-poly,Big West Conference
california-riverside,Big West Conference
california-santa-barbara,Big West Conference
north-carolina-wilmington,Colonial Athletic Association
college-of-charleston,Colonial Athletic Association
towson,Colonial Athletic Association
elon,Colonial Athletic Association
william-mary,Colonial Athletic Association
northeastern,Colonial Athletic Association
hofstra,Colonial Athletic Association
james-madison,Colonial Athletic Association
delaware,Colonial Athletic Association
drexel,Colonial Athletic Association
middle-tennessee,Conference USA
louisiana-tech,Conference USA
old-dominion,Conference USA
texas-el-paso,Conference USA
rice,Conference USA
marshall,Conference USA
alabama-birmingham,Conference USA
western-kentucky,Conference USA
texas-san-antonio,Conference USA
charlotte,Conference USA
florida-atlantic,Conference USA
southern-mississippi,Conference USA
florida-international,Conference USA
north-texas,Conference USA
oakland,Horizon League
valparaiso,Horizon League
northern-kentucky,Horizon League
green-bay,Horizon League
wright-state,Horizon League
illinois-chicago,Horizon League
detroit-mercy,Horizon League
youngstown-state,Horizon League
cleveland-state,Horizon League
milwaukee,Horizon League
princeton,Ivy Group
harvard,Ivy Group
yale,Ivy Group
pennsylvania,Ivy Group
columbia,Ivy Group
brown,Ivy Group
cornell,Ivy Group
dartmouth,Ivy Group
monmouth,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
iona,Metro Atlantic Athletic Conference
