School,Conference
houston,American Athletic Conference
cincinnati,American Athletic Conference
central-florida,American Athletic Conference
temple,American Athletic Conference
memphis,American Athletic Conference
wichita-state,American Athletic Conference
south-florida,American Athletic Conference
tulsa,American Athletic Conference
connecticut,American Athletic Conference
southern-methodist,American Athletic Conference
east-carolina,American Athletic Conference
tulane,American Athletic Conference
virginia,Atlantic Coast Conference
north-carolina,Atlantic Coast Conference
duke,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
virginia-tech,Atlantic Coast Conference
louisville,Atlantic Coast Conference
syracuse,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
clemson,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
boston-college,Atlantic Coast Conference
miami-fl,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
notre-dame,Atlantic Coast Conference
pittsburgh,Atlantic Coast Conference
vermont,America East Conference
stony-brook,America East Conference
maryland-baltimore-county,America East Conference
hartford,America East Conference
massachusetts-lowell,America East Conference
albany-ny,America East Conference
binghamton,America East Conference
new-hampshire,America East Conference
maine,America East Conference
virginia-commonwealth,Atlantic 10 Conference
davidson,Atlantic 10 Conference
dayton,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
george-mason,Atlantic 10 Conference
saint-louis,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
saint-josephs,Atlantic 10 Conference
richmond,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
fordham,Atlantic 10 Conference
liberty,Atlantic Sun Conference
lipscomb,Atlantic Sun Conference
north-florida,Atlantic Sun Conference
florida-gulf-coast,Atlantic Sun Conference
njit,Atlantic Sun Conference
north-alabama,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
stetson,Atlantic Sun Conference
kennesaw-state,Atlantic Sun Conference
texas-tech,Big 12 Conference
kansas-state,Big 12 Conference
kansas,Big 12 Conference
baylor,Big 12 Conference
iowa-state,Big 12 Conference
texas,Big 12 Conference
texas-christian,Big 12 Conference
oklahoma,Big 12 Conference
oklahoma-state,Big 12 Conference
west-virginia,Big 12 Conference
villanova,Big East Conference
marquette,Big East Conference
seton-hall,Big East Conference
georgetown,Big East Conference
creighton,Big East Conference
xavier,Big East Conference
st-johns-ny,Big East Conference
providence,Big East Conference
depaul,Big East Conference
butler,Big East Conference
montana,Big Sky Conference
northern-colorado,Big Sky Conference
eastern-washington,Big Sky Conference
weber-state,Big Sky Conference
portland-state,Big Sky Conference
montana-state,Big Sky Conference
southern-utah,Big Sky Conference
sacramento-state,Big Sky Conference
northern-arizona,Big Sky Conference
idaho-state,Big Sky Conference
idaho,Big Sky Conference
radford,Big South Conference
campbell,Big South Conference
gardner-webb,Big South Conference
winthrop,Big South Conference
presbyterian,Big South Conference
charleston-southern,Big South Conference
high-point,Big South Conference
hampton,Big South Conference
longwood,Big South Conference
north-carolina-asheville,Big South Conference
south-carolina-upstate,Big South Conference
michigan-state,Big Ten Conference
purdue,Big Ten Conference
michigan,Big Ten Conference
wisconsin,Big Ten Conference
maryland,Big Ten Conference
iowa,Big Ten Conference
minnesota,Big Ten Conference
ohio-state,Big Ten Conference
indiana,Big Ten Conference
rutgers,Big Ten Conference
penn-state,Big Ten Conference
illinois,Big Ten Conference
nebraska,Big Ten Conference
northwestern,Big Ten Conference
california-irvine,Big West Conference
california-santa-barbara,Big West Conference
cal-state-fullerton,Big West Conference
hawaii,Big West Conference
long-beach-state,Big West Conference
cal-state-northridge,Big West Conference
california-davis,Big West Conference
california-riverside,Big West Conference
cal-poly,Big West Conference
hofstra,Colonial Athletic Association
northeastern,Colonial Athletic Association
college-of-charleston,Colonial Athletic Association
william-mary,Colonial Athletic Association
delaware,Colonial Athletic Association
drexel,Colonial Athletic Association
elon,Colonial Athletic Association
james-madison,Colonial Athletic Association
towson,Colonial Athletic Association
north-carolina-wilmington,Colonial Athletic Association
old-dominion,Conference USA
marshall,Conference USA
southern-mississippi,Conference USA
western-kentucky,Conference USA
texas-san-antonio,Conference USA
florida-international,Conference USA
alabama-birmingham,Conference USA
louisiana-tech,Conference USA
north-texas,Conference USA
florida-atlantic,Conference USA
rice,Conference USA
middle-tennessee,Conference USA
charlotte,Conference USA
texas-el-paso,Conference USA
northern-kentucky,Horizon League
wright-state,Horizon League
oakland,Horizon League
green-bay,Horizon League
illinois-chicago,Horizon League
iupui,Horizon League
youngstown-state,Horizon League
detroit-mercy,Horizon League
cleveland-state,Horizon League
milwaukee,Horizon League
yale,Ivy Group
harvard,Ivy Group
princeton,Ivy Group
brown,Ivy Group
pennsylvania,Ivy Group
cornell,Ivy Group
columbia,Ivy Group
dartmouth,Ivy Group
iona,Metro Atlantic Athletic Conference
quinnipiac,Metro Atlantic Athletic Conference
rider,Metro Atlantic Athletic Conference
siena,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
monmouth,Metro Atlantic Athletic Conference
manhattan,Metro Atlantic Athletic Conference
marist,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
buffalo,Mid-American Conference
bowling-green-state,Mid-American Conference
kent-state,Mid-American Conference
akron,Mid-American Conference
miami-oh,Mid-American Conference
ohio,Mid-American Conference
toledo,Mid-American Conference
central-michigan,Mid-American Conference
eastern-michigan,Mid-American Conference
northern-illinois,Mid-American Conference
ball-state,Mid-American Conference
western-michigan,Mid-American Conference
norfolk-state,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
north-carolina-central,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
florida-am,Mid-Eastern Athletic Conference
savannah-state,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
south-carolina-state,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
morgan-state,Mid-Eastern Athletic Conference
delaware-state,Mid-Eastern Athletic Conference
drake,Missouri Valley Conference
loyola-il,Missouri Valley Conference
southern-illinois,Missouri Valley Conference
missouri-state,Missouri Valley Conference
bradley,Missouri Valley Conference
